dataset,template,mutation,n
cnn,few_shot.txt,audience_information,5
cnn,few_shot.txt,none,5
cnn,few_shot.txt,prompt_rewriting,5
cnn,few_shot.txt,stepwise_prompt,5
cnn,few_shot.txt,style_instruction,5
cnn,few_shot.txt,synonym_replacement,5
cnn,instruction_based.txt,audience_information,5
cnn,instruction_based.txt,none,5
cnn,instruction_based.txt,prompt_rewriting,5
cnn,instruction_based.txt,stepwise_prompt,5
cnn,instruction_based.txt,style_instruction,5
cnn,instruction_based.txt,synonym_replacement,5
cnn,pattern_based.txt,audience_information,5
cnn,pattern_based.txt,none,5
cnn,pattern_based.txt,prompt_rewriting,5
cnn,pattern_based.txt,stepwise_prompt,5
cnn,pattern_based.txt,style_instruction,5
cnn,pattern_based.txt,synonym_replacement,5
cnn,target_audience.txt,audience_information,5
cnn,target_audience.txt,none,5
cnn,target_audience.txt,prompt_rewriting,5
cnn,target_audience.txt,stepwise_prompt,5
cnn,target_audience.txt,style_instruction,5
cnn,target_audience.txt,synonym_replacement,5
cnn,zero_shot.txt,audience_information,5
cnn,zero_shot.txt,none,5
cnn,zero_shot.txt,prompt_rewriting,5
cnn,zero_shot.txt,stepwise_prompt,5
cnn,zero_shot.txt,style_instruction,5
cnn,zero_shot.txt,synonym_replacement,5
xsum,few_shot.txt,audience_information,5
xsum,few_shot.txt,none,5
xsum,few_shot.txt,prompt_rewriting,5
xsum,few_shot.txt,stepwise_prompt,5
xsum,few_shot.txt,style_instruction,5
xsum,few_shot.txt,synonym_replacement,5
xsum,instruction_based.txt,audience_information,5
xsum,instruction_based.txt,none,5
xsum,instruction_based.txt,prompt_rewriting,5
xsum,instruction_based.txt,stepwise_prompt,5
xsum,instruction_based.txt,style_instruction,5
xsum,instruction_based.txt,synonym_replacement,5
xsum,pattern_based.txt,audience_information,5
xsum,pattern_based.txt,none,5
xsum,pattern_based.txt,prompt_rewriting,5
xsum,pattern_based.txt,stepwise_prompt,5
xsum,pattern_based.txt,style_instruction,5
xsum,pattern_based.txt,synonym_replacement,5
xsum,target_audience.txt,audience_information,5
xsum,target_audience.txt,none,5
xsum,target_audience.txt,prompt_rewriting,5
xsum,target_audience.txt,stepwise_prompt,5
xsum,target_audience.txt,style_instruction,5
xsum,target_audience.txt,synonym_replacement,5
xsum,zero_shot.txt,audience_information,5
xsum,zero_shot.txt,none,5
xsum,zero_shot.txt,prompt_rewriting,5
xsum,zero_shot.txt,stepwise_prompt,5
xsum,zero_shot.txt,style_instruction,5
xsum,zero_shot.txt,synonym_replacement,5
